开始记录20240103104830
RX:ID 78c  Data:
02 76 2b 00 00 00 00 00 time：48:30:398
RX:ID 78c  Data:
07 62 fd ff ff ff ff ff time：48:30:398

握手成功第 44 次,  传输了： 89956个数 
TX : ID - 71C, DATA - 18, 2e, 36, 2c, d0, 7, 0, 0time：48:30:398
TX : ID - 71C, DATA - 20, 20, 20, 20, 20, 20, 20, 20time：48:30:462
TX : ID - 71C, DATA - 21, 20, 20, 20, 0, 40, 40, 40time：48:30:462
TX : ID - 71C, DATA - 22, 40, 40, 0, 80, 0, 48, 48time：48:30:462
TX : ID - 71C, DATA - 23, 48, 48, 0, 30, 30, 30, 30time：48:30:462
TX : ID - 71C, DATA - 24, 30, 30, 30, 30, 36, 30, 30time：48:30:463
TX : ID - 71C, DATA - 25, 30, 0, 0, 0, 0, 0, 1time：48:30:463
TX : ID - 71C, DATA - 26, 2, 3, 4, 5, 6, 7, 8time：48:30:463
TX : ID - 71C, DATA - 27, 9, a, b, c, d, e, ftime：48:30:463
TX : ID - 71C, DATA - 28, 0, 0, 0, 0, b0, 3, 40time：48:30:464
TX : ID - 71C, DATA - 29, 0, 70, 2, 40, 1, 0, 0time：48:30:464
TX : ID - 71C, DATA - 2a, 0, 1, 0, 0, 0, 0, 0time：48:30:464
TX : ID - 71C, DATA - 2b, 60, ea, 0, 0, 0, 0, 0time：48:30:465
TX : ID - 71C, DATA - 2c, 1, 0, 0, 0, 1, 0, 0time：48:30:465
TX : ID - 71C, DATA - 2d, d0, 7, 0, 0, 0, 0, 0time：48:30:465
TX : ID - 71C, DATA - 2e, 0, 0, 2, 0, 0, 0, 0time：48:30:465
TX : ID - 71C, DATA - 2f, 0, 0, 0, 0, 1, 2, 0time：48:30:465
TX : ID - 71C, DATA - 20, 0, 0, 0, 0, 0, 0, 0time：48:30:466
TX : ID - 71C, DATA - 21, 2, 2, 0, 0, 0, 0, 0time：48:30:466
TX : ID - 71C, DATA - 22, 0, 0, 0, 4, 2, 0, 0time：48:30:466
TX : ID - 71C, DATA - 23, 0, 0, 0, 0, 0, 0, 7time：48:30:466
TX : ID - 71C, DATA - 24, 2, 0, 0, 0, 0, 0, 0time：48:30:467
TX : ID - 71C, DATA - 25, 0, 0, 8, 2, 0, 0, 0time：48:30:467
TX : ID - 71C, DATA - 26, 0, 0, 0, 0, 0, 3, 2time：48:30:467
TX : ID - 71C, DATA - 27, 0, 0, 0, 0, 0, 0, 0time：48:30:467
TX : ID - 71C, DATA - 28, 0, 5, 2, 0, 0, 0, 0time：48:30:468
TX : ID - 71C, DATA - 29, 0, 0, 0, 0, 6, 2, 0time：48:30:468
TX : ID - 71C, DATA - 2a, 0, 0, 0, 0, 0, 0, 0time：48:30:469
TX : ID - 71C, DATA - 2b, b, 2, 0, 0, 0, 0, 0time：48:30:469
TX : ID - 71C, DATA - 2c, 0, 0, 0, 9, 2, 0, 0time：48:30:469
TX : ID - 71C, DATA - 2d, 0, 0, 0, 0, 0, 0, atime：48:30:469
